locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,37.0,"{'utc': '2023-01-02T10:00:00+00:00', 'local': '2023-01-02T17:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,37.0,"{'utc': '2023-01-02T11:00:00+00:00', 'local': '2023-01-02T18:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,37.0,"{'utc': '2023-01-02T12:00:00+00:00', 'local': '2023-01-02T19:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,37.0,"{'utc': '2023-01-02T13:00:00+00:00', 'local': '2023-01-02T20:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,37.0,"{'utc': '2023-01-02T14:00:00+00:00', 'local': '2023-01-02T21:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,38.0,"{'utc': '2023-01-02T15:00:00+00:00', 'local': '2023-01-02T22:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,38.0,"{'utc': '2023-01-02T16:00:00+00:00', 'local': '2023-01-02T23:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,38.0,"{'utc': '2023-01-02T17:00:00+00:00', 'local': '2023-01-03T00:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,38.0,"{'utc': '2023-01-02T18:00:00+00:00', 'local': '2023-01-03T01:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,38.0,"{'utc': '2023-01-02T19:00:00+00:00', 'local': '2023-01-03T02:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,38.0,"{'utc': '2023-01-02T20:00:00+00:00', 'local': '2023-01-03T03:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,38.0,"{'utc': '2023-01-02T21:00:00+00:00', 'local': '2023-01-03T04:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,38.0,"{'utc': '2023-01-02T22:00:00+00:00', 'local': '2023-01-03T05:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,36.0,"{'utc': '2023-01-03T09:00:00+00:00', 'local': '2023-01-03T16:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,37.0,"{'utc': '2023-01-03T10:00:00+00:00', 'local': '2023-01-03T17:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,37.0,"{'utc': '2023-01-03T11:00:00+00:00', 'local': '2023-01-03T18:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,37.0,"{'utc': '2023-01-03T12:00:00+00:00', 'local': '2023-01-03T19:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
